,player,innings,runs,ball_played,dismissals,dots,ones,twos,threes,fours,sixes,SR,RPI,BPD,BPB,position,balls_thrown,runs_conceded,extras,wides,noballs,byes,legbyes,penalty_runs,total_runs,wickets,overs,economy_rate,strike_rate
663,RV Patel,7.0,80.0,76.0,5.0,29.0,35.0,3.0,1.0,6.0,2.0,105.26315789473684,11.428571428571429,15.2,9.5,6.0,77.0,20.0,2.0,2.0,0.0,0.0,0.0,0.0,22.0,0.0,12.0,1.8333333333333333,inf
664,MJ Clarke,6.0,98.0,96.0,6.0,43.0,35.0,5.0,0.0,12.0,0.0,102.08333333333333,16.333333333333332,16.0,8.0,3.0,231.0,67.0,5.0,0.0,0.0,4.0,1.0,0.0,72.0,3.0,38.0,1.894736842105263,77.0
665,Mohammad Hafeez,8.0,64.0,84.0,8.0,51.0,24.0,0.0,0.0,7.0,2.0,76.19047619047619,8.0,10.5,9.333333333333334,5.0,231.0,61.0,10.0,6.0,1.0,0.0,3.0,0.0,71.0,2.0,38.0,1.868421052631579,115.5
666,AUK Pathan,7.0,39.0,26.0,5.0,14.0,3.0,2.0,0.0,5.0,2.0,150.0,5.571428571428571,5.2,3.7142857142857144,6.0,147.0,57.0,6.0,6.0,0.0,0.0,0.0,0.0,63.0,0.0,24.0,2.625,inf
667,A Mishra,55.0,381.0,440.0,31.0,199.0,183.0,22.0,0.0,31.0,5.0,86.5909090909091,6.927272727272728,14.193548387096774,12.222222222222221,7.0,12263.0,4045.0,128.0,59.0,21.0,7.0,41.0,0.0,4173.0,182.0,2042.0,2.0435847208619,67.37912087912088
668,MW Short,6.0,117.0,99.0,6.0,52.0,23.0,5.0,0.0,15.0,4.0,118.18181818181819,19.5,16.5,5.2105263157894735,2.0,91.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,15.0,1.6666666666666667,inf
669,Yashpal Singh,4.0,47.0,67.0,4.0,39.0,20.0,2.0,1.0,5.0,0.0,70.1492537313433,11.75,16.75,13.4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
670,MM Ali,52.0,1034.0,744.0,44.0,305.0,256.0,36.0,0.0,88.0,59.0,138.97849462365593,19.884615384615383,16.90909090909091,5.061224489795919,5.0,2556.0,811.0,18.0,10.0,1.0,0.0,7.0,0.0,829.0,38.0,425.0,1.9505882352941177,67.26315789473684
671,CR Woakes,12.0,78.0,77.0,5.0,33.0,32.0,3.0,0.0,7.0,2.0,101.29870129870129,6.5,15.4,8.555555555555555,7.0,1696.0,635.0,39.0,22.0,1.0,3.0,13.0,0.0,674.0,31.0,281.0,2.398576512455516,54.70967741935484
672,Mohammad Nabi,14.0,186.0,126.0,13.0,47.0,45.0,7.0,1.0,16.0,10.0,147.61904761904762,13.285714285714286,9.692307692307692,4.846153846153846,7.0,1208.0,405.0,12.0,3.0,0.0,4.0,5.0,0.0,417.0,13.0,201.0,2.074626865671642,92.92307692307692
673,KK Nair,68.0,1496.0,1192.0,65.0,470.0,434.0,82.0,5.0,161.0,39.0,125.503355704698,22.0,18.338461538461537,5.96,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
